id,state,Districts,constituency_name,MLC_name,elected,presentorx,actvated,party,party_name,gender,fathers_Name,Spouse_Name,Highest_Education,University,photo,address,Email_address,Mobile,chldid,Termend
350,Andhra Pradesh,-,-,T.D. Janardhan,Nominated  by Governor,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
349,Andhra Pradesh,-,-,Beeda Ravichandra,Nominated  by Governor,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
348,Andhra Pradesh,-,-,Gownivaari Sreenivasulu,Nominated  by Governor,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
347,Andhra Pradesh,-,-,N. M. D. Farooq,Nominated by Governor,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
346,Andhra Pradesh,-,-,Pamidi Samanthakamani,Nominated  by Governor,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
345,Andhra Pradesh,-,-,Chadipiralla Sivanatha Reddy		,Nominated  by Governor,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
344,Andhra Pradesh,-,-,Zakia Khanum,Nominated by Governor,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
343,Andhra Pradesh,-,-,Pandula Ravindra Babu,Nominated by Governor,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
339,Andhra Pradesh,Guntur,Guntur,Ummareddy Venkateswarlu, Local Authorities constituencies,present,no,YSRCP,,Male,,,,,,,,+91,no,0001-01-01
338,Andhra Pradesh,Visakhapatnam,Visakhapatnam,B. Naga Jagadeeswara Rao, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
337,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Pappala Chalapathirao, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
336,Andhra Pradesh,Krishna,Krishna,Y.V. Babu Rajendra Prasad, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
335,Andhra Pradesh,Krishna,Krishna,Buddha Venkateswara Rao, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
334,Andhra Pradesh,East Godavari,East Godavari,Reddy Subrahmanyam, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
333,Andhra Pradesh,Chittoor,Chittoor,Gali Saraswathi, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
332,Andhra Pradesh,Vizianagaram,Vizianagaram,Dwarapureddi Jagadeeswara Rao, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
331,Andhra Pradesh,Anantapur,Anantapur,Gunapati Deepak Reddy, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
330,Andhra Pradesh,Kadapa,Kadapa,Mareddy Ravindranatha Reddy(B.tech Ravi), Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
329,Andhra Pradesh,Kurnool,Kurnool,K.E. Prabhakar, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
328,Andhra Pradesh,Nellore,Nellore,Vakati Narayana Reddy, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
327,Andhra Pradesh,Srikakulam,Srikakulam,Satrucharla Vijaya Rama Raju, Local Authorities constituencies,present,no,BJP,,Male,,,,,,,,+91,no,0001-01-01
326,Andhra Pradesh,East Godavari,East Godavari,Chikkala Ramachandra, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
325,Andhra Pradesh,West Godavari,West Godavari,Manthena Venkata Satyanarayana Raju, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
324,Andhra Pradesh,West Godavari,West Godavari,Angara Ramamohan, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
323,Andhra Pradesh,Chittoor,Chittoor,B.N. Rajasimhulu, Local Authorities constituencies,present,no,TDP,,Male,,,,,,,,+91,no,0001-01-01
322,Andhra Pradesh,-,-,Somu Veerraju,Legislative Assembly,present,no,BJP,,Male,,,,,,,,+91,no,0001-01-01
